Group,PM2.5
10_01,16.991992922133463
10_02,16.852482622078753
10_03,16.3914269984603
10_04,15.947088252835332
10_05,16.19372333344598
10_06,16.415548778427716
10_07,16.53717313075043
10_08,16.433469382573655
10_09,16.46799609532004
10_10,16.555950543548782
10_11,16.692105481972664
10_12,16.583957643470413
10_13,16.40563946848123
10_14,16.142799595218488
10_15,16.254832709660793
10_16,16.68547374292466
10_17,17.084969924958397
10_18,17.112338324420406
10_19,17.38970029888015
10_20,17.824423744992902
10_21,18.563611149867967
10_22,19.475663601191265
10_23,19.892603566234158
10_24,19.816752428797805
10_25,19.992177653689822
10_26,19.953932524413602
10_27,20.125506441138448
10_28,20.195470039318916
10_29,19.717339928346426
10_30,19.49830952476041
10_31,20.022832279451507
11_01,20.848455340237713
11_02,22.043084215912415
11_03,23.01841806931896
11_04,23.53756274160005
11_05,24.254072737375093
11_06,24.654580935261247
11_07,24.922460390956488
11_08,25.031632118157496
11_09,24.872235820228916
11_10,24.785484418787355
11_11,24.72258380465748
11_12,24.67106203286808
11_13,24.356252512537186
11_14,23.92143037471991
11_15,23.43954931032245
11_16,23.174537518859974
11_17,22.65523563799188
11_18,22.413991536964616
11_19,22.159302575260245
11_20,22.11314581685475
11_21,21.85287536333619
11_22,21.741251539921496
11_23,21.312623757703147
11_24,21.08095515267801
11_25,20.78474823977998
11_26,20.650121036999415
11_27,20.834581267388277
11_28,21.316670049747692
11_29,21.52553877164305
11_30,21.85168387319804
12_01,22.611088134322397
12_02,23.431489266604608
12_03,24.151471171674235
12_04,25.09179807601329
12_05,25.90722033721151
12_06,26.64176564419418
12_07,27.551707624993334
12_08,28.54678894812138
12_09,29.31372442067385
12_10,29.793308010824244
12_11,30.169891692756682
12_12,30.711971327904177
12_13,31.197800174195343
12_14,30.976014951526157
12_15,30.106763500516177
12_16,29.683634223308342
12_17,30.181234754664747
12_18,30.75262427937691
12_19,31.247712283652266
12_20,32.0589766947146
12_21,33.0876166752779
12_22,33.8504925086465
12_23,34.429820986898825
12_24,34.51728095486321
12_25,33.97969726077315
12_26,32.75163630978581
12_27,30.913693655317456
12_28,29.140861669661454
12_29,27.76901100476952
12_30,26.555440537459912
12_31,25.582002874008545
01_01,24.291233789769684
01_02,25.251037230121234
01_03,27.335964487920215
01_04,29.93483565903066
01_05,31.360149751157042
01_06,32.333991485591206
01_07,33.43341075283619
01_08,34.21952475544767
01_09,34.0181839907144
01_10,34.00529419787226
01_11,34.84525898035253
01_12,36.66205105756977
01_13,38.57235004305145
01_14,40.00763697789927
01_15,40.59538633190072
01_16,41.73916692780078
01_17,42.686501248746715
01_18,43.49136500167574
01_19,43.813404196550536
01_20,43.421024257561314
01_21,42.25639079640978
01_22,41.75473980855519
01_23,40.729185165862745
01_24,39.17871704628797
01_25,37.565084154314626
01_26,36.301557290129146
01_27,36.15720875479289
01_28,36.47440986061254
01_29,36.89793700383483
01_30,37.80440114856604
01_31,38.53482051706476
02_01,38.9956696292779
